t,action,dist,ata,p_alt,p_spd,p_hdg,p_roll,t_alt,t_spd,t_hdg,p_n,p_e
69.5,4,7853.431099314537,-110.78485860910085,9868.277042661837,187.90700024473756,118.46113900005072,-0.22527596675844647,2796.671848916343,234.367176120125,90.14872988691164,-3271.781203850186,14470.639026123998
69.6,4,7858.255185803536,-110.69116676442204,9877.802531863672,187.8537186197193,118.46054949120261,-0.22409507980101231,2806.0748680579572,233.8812361797856,90.0064507771803,-3280.734134936419,14487.155284282051
69.7,4,7862.795423888787,-110.60597017086215,9887.294817511047,187.80567422783898,118.45992387120411,-0.22293258886182404,2815.7563894065947,233.43664761706066,90.07706740086259,-3289.6845118285696,14503.667250226774
69.8,4,7867.0703989049025,-110.51278345516944,9896.754415224741,187.75396719938178,118.45933918110701,-0.2217641437801904,2825.713660644561,233.0309144389438,90.1255056699751,-3298.6323213576666,14520.174893298597
69.9,4,7871.074027446789,-110.42810094153371,9906.180682296665,187.70749079758,118.45871882842577,-0.22061379552555024,2835.9482171307654,232.5354285395514,89.98812885126681,-3307.5776531880488,14536.67838135145
70.0,4,7874.808062535445,-110.33536604311324,9915.57413571016,187.65736266991314,118.45813887858979,-0.21945766462716065,2846.448725499934,232.10152472953425,90.1037199144069,-3316.520494320642,14553.177684133689
70.1,4,7878.28844131149,-110.25121047231262,9924.934132939947,187.61245870652928,118.45752370710989,-0.2183193363101676,2857.216018954298,231.66673877203968,90.08354184852293,-3325.4609344241576,14569.672969496087
70.2,4,7881.511338133588,-110.15899207598598,9934.261192351234,187.5639136820118,118.4569484190771,-0.21717539347303647,2868.241145500079,231.17213012677004,89.9882042659923,-3334.3989606651494,14586.164207585876
70.3,4,7884.474103753069,-110.07528363616476,9943.554671592468,187.52058650488883,118.45633834312402,-0.21604896374888533,2879.529229272634,230.70075087679774,90.12543446732984,-3343.334662716421,14602.65156625074
70.4,4,7887.173790275173,-109.98369379538487,9952.815090440245,187.47362868563908,118.45576763910576,-0.2149170841967713,2891.09534764131,230.16523961714776,90.04782504977922,-3352.268027905995,14619.135016027718
70.5,4,7889.611175583737,-109.900546178328,9962.041806719006,187.4318825407935,118.45516257413087,-0.21380243287612058,2902.9177359144333,229.642480601462,90.00252203421529,-3361.1991459105398,14635.614724761319
