step,p0_N,p0_E,p0_D,p1_N,p1_E,p1_D,t0_N,t0_E,t0_D
186,-8939,3270,3474,-6138,-5825,910,-9237,-1531,2903
187,-8992,3294,3476,-6186,-5866,908,-9284,-1539,2892
188,-9046,3318,3478,-6234,-5908,905,-9331,-1548,2882
189,-9100,3341,3480,-6282,-5948,903,-9378,-1556,2874
190,-9154,3364,3481,-6331,-5989,901,-9425,-1564,2866
191,-9208,3388,3483,-6379,-6030,900,-9472,-1572,2859
192,-9262,3411,3485,-6428,-6070,899,-9519,-1580,2853
193,-9316,3432,3486,-6476,-6111,897,-9566,-1588,2848
194,-9371,3454,3488,-6525,-6150,896,-9613,-1596,2844
195,-9425,3476,3490,-6576,-6188,895,-9660,-1604,2842
196,-9479,3499,3491,-6626,-6225,895,-9707,-1613,2840
197,-9533,3520,3493,-6677,-6263,894,-9754,-1621,2839
198,-9588,3541,3495,-6727,-6301,893,-9801,-1629,2839
199,-9642,3562,3497,-6778,-6339,892,-9849,-1637,2841
200,-9697,3581,3499,-6829,-6376,891,-9896,-1645,2843
201,-9751,3603,3500,-6880,-6414,891,-9943,-1653,2846
202,-9806,3622,3502,-6931,-6452,889,-9990,-1661,2850
203,-9861,3641,3504,-6982,-6490,888,-10037,-1669,2855
204,-9916,3659,3505,-7033,-6528,886,-10084,-1677,2862
205,-9972,3675,3507,-7085,-6565,884,-10130,-1685,2869
206,-10028,3690,3509,-7138,-6601,882,-10177,-1693,2878
207,-10083,3704,3511,-7192,-6635,881,-10224,-1701,2887
208,-10139,3717,3514,-7247,-6669,879,-10270,-1709,2897
209,-10195,3729,3516,-7302,-6701,878,-10317,-1717,2908
210,-10251,3740,3519,-7358,-6733,877,-10363,-1725,2920
211,-10306,3749,3521,-7415,-6763,876,-10410,-1733,2934
212,-10362,3758,3524,-7472,-6793,875,-10456,-1741,2948
213,-10418,3768,3528,-7530,-6821,874,-10502,-1749,2963
214,-10473,3776,3532,-7588,-6849,873,-10547,-1757,2979
215,-10529,3786,3536,-7646,-6877,873,-10593,-1765,2996
216,-10585,3793,3540,-7704,-6905,872,-10639,-1773,3013
217,-10641,3800,3543,-7762,-6934,872,-10684,-1780,3030
218,-10696,3809,3547,-7819,-6964,870,-10729,-1788,3047
219,-10752,3819,3550,-7876,-6995,868,-10774,-1796,3063
220,-10807,3829,3552,-7933,-7025,866,-10820,-1804,3079
221,-10863,3838,3554,-7992,-7053,864,-10865,-1811,3094
222,-10918,3848,3556,-8050,-7082,862,-10909,-1819,3107
223,-10974,3857,3558,-8108,-7111,860,-10954,-1827,3120
224,-11029,3866,3559,-8166,-7140,858,-10999,-1835,3132
225,-11085,3873,3561,-8224,-7169,856,-11044,-1842,3143
226,-11141,3880,3562,-8284,-7197,853,-11088,-1850,3153
227,-11196,3889,3564,-8343,-7223,851,-11133,-1858,3162
228,-11251,3898,3564,-8404,-7248,849,-11177,-1865,3170
229,-11306,3905,3565,-8464,-7272,847,-11221,-1873,3177
230,-11361,3911,3565,-8525,-7295,845,-11266,-1881,3183
231,-11416,3919,3566,-8587,-7317,843,-11310,-1888,3188
232,-11471,3928,3566,-8649,-7338,841,-11354,-1896,3192
233,-11526,3935,3566,-8712,-7358,840,-11398,-1904,3195
234,-11580,3941,3565,-8774,-7378,839,-11442,-1911,3197
235,-11635,3946,3565,-8837,-7398,838,-11486,-1919,3198
236,-11690,3952,3565,-8900,-7416,838,-11530,-1927,3198
237,-11745,3956,3566,-8963,-7434,837,-11575,-1934,3196
238,-11799,3962,3566,-9027,-7452,838,-11619,-1942,3194
239,-11853,3967,3567,-9090,-7469,838,-11663,-1950,3190
